idpozo,longitud_rama_horizontal_m,presion_maxima_psi,potencia_equipos_fractura_hp,cantidad_fracturas,arena_bombeada_nacional_tn,arena_bombeada_importada_tn,agua_inyectada_m3,fecha_inicio_fractura,fecha_fin_fractura,sigla,cuenca,areapermisoconcesion,yacimiento,formacion_productiva,tipo_reservorio,subtipo_reservorio,tipo_terminacion,empresa_informante,es_vaca_muerta,arena_total_tn,arena_por_metro,agua_por_metro,arena_por_etapa,agua_por_etapa,espaciamiento_etapas_m,ratio_arena_importada,ratio_agua_arena,usa_arena_importada,duracion_fractura_dias,anio_fractura,carga_sospechosa,cuenca_neuquina,subtipo_reservorio_tight,tipo_reservorio_no convencional,tipo_reservorio_no discriminado,tipo_terminacion_camisas y punzados,tipo_terminacion_jetteo,tipo_terminacion_punzado,tipo_terminacion_tapón disparo,formacion_productiva_lajas,formacion_productiva_magallanes,formacion_productiva_mulichinco,formacion_productiva_palermo aike,formacion_productiva_quintuco,formacion_productiva_vaca muerta,empresa_informante_freq,areapermisoconcesion_freq,yacimiento_freq
131726,980.0,7409.0,18000.0,6,377.775,0.0,2031.82283737862,2009-01-07,2010-01-08,TA.Nq.APW.H-1,neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,convencional,,jetteo,total austral s.a.,False,377.775,0.385484693877551,2.0732886095700205,62.9625,338.63713956310335,163.33333333333334,0.0,5.378394116547205,0,366.0,2009.0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
133184,910.0,7453.0,18000.0,5,183.015,0.0,1736.122493964805,2009-11-21,2009-12-11,TA.Nq.APW.H-2,neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,convencional,,jetteo,total austral s.a.,False,183.015,0.2011153846153846,1.9078269164448407,36.602999999999994,347.224498792961,182.0,0.0,9.486230603856542,0,20.0,2009.0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
133425,990.0,7500.0,18000.0,6,490.95,0.0,1670.94498792961,2010-01-30,2010-05-16,TA.Nq.APW.H-4,neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,convencional,,jetteo,total austral s.a.,False,490.95,0.4959090909090909,1.6878232201309193,81.825,278.49083132160166,165.0,0.0,3.403493202830451,0,106.0,2010.0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
133986,1010.0,6600.34,18000.0,5,177.345,0.0,1558.69677615687,2010-03-13,2010-06-26,TA.Nq.APW.H-6,neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,convencional,,jetteo,total austral s.a.,False,177.345,0.17558910891089108,1.5432641348087823,35.469,311.739355231374,202.0,0.0,8.789065246592067,0,105.0,2010.0,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
134766,1170.0,8540.0,18000.0,5,230.85,0.0,1064.14756688299,2010-08-25,2010-09-26,TAU.Nq.APO-12 (h),neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,no convencional,tight,jetteo,total austral s.a.,False,230.85,0.1973076923076923,0.9095278349427266,46.17,212.82951337659802,234.0,0.0,4.609692730703878,0,32.0,2010.0,1,True,True,True,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
134903,1150.0,8090.0,18000.0,6,314.595,0.0,1300.96797807117,2010-10-03,2010-12-23,TAU.Nq.APO-14 (h),neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,no convencional,tight,jetteo,total austral s.a.,False,314.595,0.2735608695652174,1.1312765026705824,52.432500000000005,216.82799634519498,191.66666666666666,0.0,4.135373982648071,0,81.0,2010.0,0,True,True,True,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
135066,1060.0,6715.0,18000.0,6,286.785,0.0,1668.71561792913,2010-11-08,2010-11-30,TAU.Nq.APO-8 (h),neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,no convencional,tight,jetteo,total austral s.a.,False,286.785,0.27055188679245284,1.5742600169142738,47.79750000000001,278.11926965485503,176.66666666666666,0.0,5.818699087919975,0,22.0,2010.0,0,True,True,True,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
137008,934.3,10780.0,30000.0,10,321.345,1907.37,17456.3,2011-12-13,2011-12-30,YPF.Nq.SOil.x-2h,neuquina,loma campana,loma campana,vaca muerta,no convencional,shale,tapón disparo,ypf s.a.,True,2228.715,2.3854382960505194,18.68382746441186,222.87150000000003,1745.6299999999999,93.42999999999999,0.8558160195448946,7.832450537641645,1,17.0,2011.0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,0.5343834037648867,0.17018824433346139,0.052247406838263545
137240,891.3,10330.0,28000.0,10,59.895,2190.42,16332.4,2012-01-20,2012-01-31,YPF.Nq.LLL.a-514h,neuquina,loma campana,loma campana-lll,vaca muerta,no convencional,shale,tapón disparo,ypf s.a.,True,2250.315,2.5247559744193877,18.32424548412431,225.0315,1633.24,89.13,0.973383726278321,7.257828348475657,1,11.0,2012.0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,0.5343834037648867,0.17018824433346139,0.11794083749519785
137310,1010.0,8425.0,18000.0,7,337.185,0.0,865.945597315975,2012-03-02,2012-03-12,TAU.Nq.APO-20 (h),neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,no convencional,tight,jetteo,total austral s.a.,False,337.185,0.33384653465346537,0.8573718785306683,48.169285714285714,123.70651390228214,144.28571428571428,0.0,2.568161683692854,0,10.0,2012.0,0,True,True,True,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
137390,901.3,11293.0,26000.0,10,272.25,1942.38,14292.0,2012-02-04,2012-02-17,YPF.Nq.LLL-523(h),neuquina,loma campana,loma campana-lll,vaca muerta,no convencional,shale,tapón disparo,ypf s.a.,True,2214.63,2.457150782203484,15.857095306779097,221.46300000000002,1429.2,90.13,0.8770675011175681,6.453448205795099,1,13.0,2012.0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,0.5343834037648867,0.17018824433346139,0.11794083749519785
137609,820.3,10250.0,26000.0,11,246.24,1974.555,14108.2,2012-05-13,2012-05-26,YPF.Nq.LLL-534(h),neuquina,loma campana,loma campana-lll,vaca muerta,no convencional,shale,tapón disparo,ypf s.a.,True,2220.795,2.707296111178837,17.19882969645252,201.89045454545456,1282.5636363636365,74.57272727272726,0.8891207878259813,6.352770066575258,1,13.0,2012.0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,0.5343834037648867,0.17018824433346139,0.11794083749519785
144450,1010.0,8500.0,18000.0,7,316.935,0.0,940.0,2012-12-12,2013-01-14,TAU.Nq.APO-18 (h),neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,no convencional,tight,jetteo,total austral s.a.,False,316.935,0.3137970297029703,0.9306930693069307,45.276428571428575,134.28571428571428,144.28571428571428,0.0,2.965907835991607,0,33.0,2012.0,0,True,True,True,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
144652,815.1,10070.0,28000.0,10,93.69,1185.435,10295.9,2013-01-18,2013-01-29,YPF.Nq.LLL-546(h),neuquina,loma campana,loma campana-lll,vaca muerta,no convencional,shale,tapón disparo,ypf s.a.,True,1279.125,1.569285977180714,12.63145626303521,127.9125,1029.59,81.51,0.926754617414248,8.049174240203264,1,11.0,2013.0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,0.5343834037648867,0.17018824433346139,0.11794083749519785
144894,1018.0,7900.0,18000.0,7,321.435,0.0,863.0,2013-03-24,2013-04-05,TAU.Nq.APN-26 (h),neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,no convencional,tight,jetteo,total austral s.a.,False,321.435,0.3157514734774067,0.8477406679764243,45.919285714285714,123.28571428571429,145.42857142857142,0.0,2.6848351921850453,0,12.0,2013.0,0,True,True,True,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
144895,934.0,6600.34,18000.0,7,320.265,0.0,1273.0,2013-02-09,2013-02-25,TAU.Nq.LCar-43 (h),neuquina,aguada pichana este,aguada pichana este mulichinco,mulichinco,no convencional,tight,jetteo,total austral s.a.,False,320.265,0.34289614561027837,1.3629550321199144,45.75214285714286,181.85714285714286,133.42857142857142,0.0,3.974833341139369,0,16.0,2013.0,0,True,True,True,False,False,True,False,False,False,False,True,False,False,False,0.059546676911256244,0.050710718401844025,0.016903572800614674
